Crop,Season,Temp_Min,Temp_Max,Rain_Min,Rain_Max,Soil_Type,Rotation_Benefit,Side_Effect,Benefits,Counters,Duration_days,Water_Requirement_Level,Average_Yield_kg_per_ha,pH_Min,pH_Max
Rice,Kharif,20,35,800,2000,"Clay;Silty;Loam","Improves soil structure and moisture retention","Continuous monocropping may deplete nitrogen and increase pest risk","Soil structure;Moisture retention","Nitrogen depletion;Pest buildup",107,High,5310,5.5,7.0
Wheat,Rabi,12,25,300,900,"Loam;Clay Loam","Breaks pest and disease cycles, improves aeration","High fertilizer demand can reduce soil fertility if unbalanced","Pest control;Soil aeration","Fertilizer depletion;Disease buildup",103,Medium,4527,6.0,7.5
Maize,Kharif;Rabi,18,30,500,1000,"Loam;Alluvial;Red","Restores nitrogen and adds organic matter to soil","Can cause soil erosion if crop residues are not managed","Restores nitrogen;Adds organic matter","Nitrogen depletion;Soil erosion",109,Medium,4907,6.0,7.5
Jowar (Sorghum),Kharif;Rabi,25,35,400,600,"Sandy;Loam;Black (mixed)","Improves water retention and soil organic matter","Harvesting can reduce soil cover increasing erosion risk","Water retention;Adds organic matter","Soil erosion",126,Medium,2813,6.0,7.5
Bajra (Pearl Millet),Kharif,25,40,300,600,"Sandy;Loam","Enhances soil organic carbon","Excessive monoculture can reduce soil nutrients","Adds organic carbon","Soil nutrient depletion",135,Medium,980,6.0,7.5
Ragi (Finger Millet),Kharif,20,30,400,800,"Loam;Sandy","Restores soil fertility and controls pests","Needs soil moisture management to prevent nutrient leaching","Improves fertility;Pest control","Nutrient depletion;Pest buildup;Soil moisture loss",121,Medium,3959,6.0,7.5
Barley,Rabi,12,24,200,500,"Loam;Clay Loam","Reduces soil-borne diseases and pest incidence","May compete with soil microbes if rotated improperly","Disease control;Pest reduction","Disease buildup;Microbe competition",113,Low,2089,6.0,7.5
Gram (Chickpea),Rabi,12,27,300,700,"Loam;Clay","Fixes atmospheric nitrogen enriching soil","Can increase soil compaction if not rotated well","Fixes nitrogen;Enriches soil","Nitrogen depletion;Soil compaction",80,Medium,1247,6.0,7.5
Tur (Pigeon Pea),Kharif,20,35,400,1000,"Loam;Sandy","Nitrogen fixer and improves organic matter","May deplete phosphorus if not supplemented","Fixes nitrogen;Adds organic matter","Nitrogen depletion;Phosphorus depletion",101,Medium,1251,6.0,7.5
Urad (Black Gram),Kharif,25,35,300,800,"Loam;Sandy","Restores soil nitrogen and controls pests","Can leave soil prone to erosion without cover crops","Restores nitrogen;Pest control","Nitrogen depletion;Soil erosion",90,Medium,1062,6.0,7.5
Moong (Green Gram),Kharif,25,35,300,700,"Loam;Sandy","Enhances nitrogen fixation and soil fertility","May reduce soil moisture if grown continuously","Fixes nitrogen;Improves soil fertility","Nitrogen depletion;Soil moisture loss",106,Medium,1232,6.0,7.5
